,winner,white_rating,black_rating,moves
0,black,1413,2108,e4 Nc6 d4 e5 d5 Nce7 c3 Ng6 b4
1,white,2449,978,c4 e5 Nc3 Bc5 g3 Nc6 Bg2 Nf6 Nf3 b6 Nxe5 Bb7 Nd3 Bd4 O-O Bxc3 dxc3 O-O Nb4 Re8 Nxc6 Bxc6 Bxc6 dxc6 Be3 Ng4 Qxd8 Raxd8 Rad1 Nxe3 fxe3 Rxd1 Rxd1 Rxe3
2,white,2443,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 O-O-O d5 exd5 Nxd5 Nxc6 bxc6 Nxd5 cxd5 Qxd5 Qc7 Qc5 Qb7 b3 Bf5 Bd3 Rac8 Qa3 Bxd3 Rxd3 Qc7 c4 Qe5 Kc2 Rfd8 Rhd1 Rxd3 Rxd3 Rc6 Rd8+ Bf8 Qxa7 Rd6 Rxd6 exd6 Qd4 Qf5+ Qd3 Qf6 Bd4 Qf5 Qxf5 gxf5 a4 Bg7 Bxg7 Kxg7 a5 f4 a6 Kf8
3,white,2436,978,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 g6 Be3 Bg7 f3 O-O Qd2 Nc6 Bc4 Be6 Bxe6 Nxd4 Bxf7+ Rxf7 Bxd4 d5 e5 Ne8 e6 Rf8 O-O-O Bxd4 Qxd4 Qa5 Nxd5 Rc8 Nxe7#
4,white,2436,978,e4 d5 exd5 Qxd5 Qf3 Qe5+ Ne2 Nf6 d4 Qd5 Qxd5 Nxd5 a3 Nb6 Ng3 Nc6 Be3 e5 dxe5 Nxe5 Nd2 Be6 O-O-O Nbc4 Nxc4 Nxc4 Bxc4 Bxc4 Rhe1 Be7 Nf5 Be6 Nxg7+ Kf8 Bh6 Bg4 f3 Be6 Nxe6+ Ke8 Nxc7#
5,black,1579,2105,d4 d5 Bf4 Nf6 Nf3 e6 e3 Bd6 Bg3 O-O Bd3 b6 Nbd2 Bb7 a3 Nbd7 c4 Bxg3 hxg3 Re8 Qb1 h6 e4 dxe4 Nxe4 e5 d5 c6 Nd6 e4 Nxe8 Qxe8 Bxe4 cxd5 cxd5 Ba6 Nd2 Nc5 f3 Qe5 Kd1 Qd4 Rh4 Qf2 Kc2 Rc8 Bd3
6,black,1289,2108,e4 e5 Nf3 Nc6 Bb5 a6 Ba4 Nf6 Nc3 Be7 d4 exd4 Nxd4 Nxd4 Qxd4 O-O Nd5 Nxd5 Qxd5 c6 Qd3 Qa5+ Bd2 Qxa4 O-O Bf6 Qc3 Bxc3
7,black,1780,2132,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nf6 Nc3 a6 a3 Nbd7 Bc4 Nc5 Qe2 e6 O-O Bd7 Bg5 Rc8 e5 dxe5 Qxe5 Be7 Ba2 O-O Bxf6 Bxf6 Qe3 Qb6 Nf3 Qxb2 Ne4 Nxe4 Qxe4 Bc6 Qe2 Bb5 Qd2 Bxf1
8,black,1373,2148,e4 c5 Nf3 e6 g3 a6 Bg2 Nc6 b3 b5 Bb2 Bb7 d3 Nf6 O-O Be7 Nbd2 O-O c4 d5 cxd5 exd5 exd5 Nxd5 Ne4 h6 d4 c4 Nfd2 cxb3 Nxb3
9,black,1488,2192,d4 Nf6 Bf4 d5 e3 Bf5 Nf3 c6 Nbd2 Qb6 Qc1 Nbd7 c3 e6 Be2 h6 h3 Be7 O-O O-O c4 c5 cxd5 Nxd5 Nc4 Nxf4 exf4 Qc7 Qe3 Nf6 Rac1 Nd5 Qe5 Qd8 Ne3 Bf6 Nxf5 Bxe5 Nxh6+ gxh6 Nxe5 Nxf4 Bf3 cxd4 Rfd1 Rb8 g3 Nxh3+ Kh2 Ng5 Bh5 Qd6 Ng4 Kg7 Ne3 Rbc8 Rxc8 Rxc8 Be2 Qe5
10,black,1954,2158,e4 c5 Nc3 d6 f4 Nc6 Bb5 Bd7 Nf3 e6 O-O Nf6 d3 Be7 Qe1 O-O h3 a6 Bxc6 Bxc6 g4 Nd7 a3 f5 exf5 exf5 Qe6+ Kh8 g5 Qe8 Kh2 Qf7 Qxf7 Rxf7
11,black,1964,2287,e4 Nc6 d4 e5 d5 Nce7 c4 Ng6 Nc3 Nf6 f3 Bc5 Qe2 a6 Be3 Ba7 Bxa7 Rxa7 Qe3 Ra8 Nh3 d6 Be2 Bxh3 gxh3 Nh5 Qf2 Nhf4 Qg3 Nh4 Qxg7 Rf8 Qxh7 Qg5 O-O-O Nxe2+ Kc2 Nxc3 bxc3 Nxf3 Qf5 Qxf5 exf5 Nh4 Rdf1 Kd7 Kd3 Rg8 Rhg1 b6 Ke4 f6 Rg4 Rxg4+ hxg4 Rg8 h3 c6 Rg1 cxd5+ cxd5 Rc8 Rg3 Rc4+ Kd3 Rf4 Ke2 b5 Rd3 Kc7 Rg3 Kb6 Rd3 Kc5 Re3 Kxd5 Kd3 Ra4 Re2 e4+ Ke3 Ke5 Rc2 d5 Rd2 Ra3 Rc2 d4+
12,black,1916,2285,b3 b6 Bb2 Bb7 Nc3 Nf6 Nf3 c5 d3 d5 e3 Nc6 d4 e6 g3 Be7 Bg2 O-O O-O Rc8 Ne2 b5 c4 bxc4 bxc4 dxc4 Qd2 Ne4 Qd1 Nb4 Ne1 f5 f3 Nf6 a3 Nbd5 Qd2 Ba6 e4 c3 Bxc3 Nxc3 Qxc3 Bxe2
13,black,1731,2127,d4 g6 e4 Bg7 Nf3 d6 Be3 c6 Be2 Nd7 Nc3 a6 h4 h5 Ng5 e5 dxe5 dxe5 g4 hxg4 Bxg4 Ngf6 h5 Nxg4 Qxg4 Nf6 Qf3 Bg4 Qg3 Qe7 Nf3 Bxf3 Qxf3 Rxh5 O-O-O Rxh1 Rxh1 O-O-O Bg5 Qe6 Bxf6 Qxf6 Qxf6 Bxf6 Rh7 b5 Rxf7 Bg5+ Kb1 b4
14,black,2306,2405,e4 e5 Nf3 Nc6 Nc3 Nf6 Nxe5 Nxe5 d4 Nc6 d5 Bb4 dxc6 Nxe4 Qd4 Qe7 Be3 O-O cxd7 Bxd7 Bd3 Bc6 a3 Bxc3+ bxc3 Rad8 Qb4 Qe5 O-O-O a5 Qc4 Qxc3 Qxc3 Nxc3 Rde1 Bxg2 Rhg1 Bf3 Bh6 g6 Bxf8 Kxf8 Re3 Bc6 h4 Nd5 Re5 f6 Re4 Kf7 Rge1 Kg7 c4 Nb6 Re7+ Kf8 Kc2 Rd7 Re8+ Kf7 h5 Ba4+ Kb2 gxh5 R8e3 Bc6 Kc2 Kg7 Re7+ Kh6 Rxd7 Bxd7 Re7 h4 c5 Ba4+ Kd2 Nd5 Re4 Bc6 Rxh4+ Kg5 Rxh7 Kf4 Rxc7 Nxc7
15,black,2422,2386,e4 c5 d4 cxd4 c3 Nf6 e5 Nd5 cxd4 d6 exd6 Qxd6 Nc3 Nc6 Bb5 a6 Ba4 Bf5 Nf3 Qe6+ Qe2 Qxe2+ Kxe2 Nxc3+ bxc3 b5 Bb3 e6 d5 Na5 dxe6 Bxe6 Bxe6 fxe6 Bf4 Nc4 Rhe1 Bc5 Ng5 e5 Bg3 Ba7 f4 Be3 Kf3 Bd2 Re2 O-O Ne6 Rf6 Nc7 Rd8 Rd1 Rd7 Ke4 exf4 Rexd2 Nxd2+
16,black,2373,2356,e4 c5 Nf3 Nc6 d4 cxd4 Nxd4 Nf6 Nc3 e5 Ndb5 d6 Bg5 a6 Na3 b5 Nd5 Be7 Bxf6 Bxf6 c4 Nd4 cxb5 O-O Bd3 axb5 O-O Bd7 Rc1 Bh4 g3 Bg5 f4 exf4 gxf4 Bh3 Rf2 Bh4 Rd2 Be1 Re2 Bg4 Ne3 Qb6 Kh1 Bf3+ Ng2 Nxe2 Bxe2 Qf2
