winner,white_rating,black_rating,moves
white,2621,1545,e4 c5 Nf3 d6 d4 cxd4 Nxd4 Nc6 c4 e6 Nc3 Nf6 Be2 Be7 Be3 a6 O-O O-O Rc1 b5
white,2621,1449,e4 e5 Nf3 Nc6 Bc4 Nf6 d3 Bc5 Nc3 O-O O-O d6 h3 h6 Be3 Bxe3 fxe3 Be6 Bb3 a6 Qe1 Qd7 Nh4 b5 Nf5 Nb4 Nxh6+ gxh6 Rxf6 Bxb3 Rxh6 Nxc2 Qg3+ Qg4 Qxg4#
black,1016,2621,Nc3 c5 Nf3 Nc6 Nb5 Nf6 c4 g6 Ng5 Bg7 d3 O-O Bf4 e5 e3 exf4 exf4 Re8+ Be2 d5 cxd5 Nxd5 Qb3 Nxf4 Qxf7+ Kh8 h4 Nxe2 Rf1 Nc3+ Qxe8+ Qxe8+ Kd2 Qe2+ Kc1 Nxb5 Rh1 Bxb2+ Kb1 Na3#
black,1016,2621,Nf3 Nf6 d4 g6 Bg5 Bg7 Nc3 d5 Qd3 Bf5 Qb5+ Nc6 Qa4 O-O O-O-O a6 Qb3 b5 Nxb5 axb5 a4 Ne4 Qxb5 Qd6 Rd3 Nxf2 Rg1 Nxd3+ cxd3 Rfb8 Qxb8+ Rxb8 Nh4 Nxd4 Nxf5 gxf5 Be3 Qc5+ Kd2 Nb3+ Ke1 Qxe3 d4 Rb6 h4 Rc6 g3 Rc1#
white,2621,1555,e4 c6 d4 d5 Nd2 dxe4 Nxe4 Nf6 Nxf6+ exf6 c3 Be7 Bd3 Be6 Ne2 Bd5 Nf4 Bd6 Nxd5 cxd5 Qb3 Qe7+ Kd1 b6 Re1 Qxe1+ Kxe1 Kd7 Qxd5
black,2145,2588,d4 Nf6 c4 g6 g3 Bg7 Bg2 O-O Nf3 c5 O-O d6 Nbd2 Nbd7 Qc2 Rb8 e4 e5 dxe5 dxe5 b3 Qe7 Bb2 b6 Nb1 Bb7 Nc3 h6 Rfe1 Rbd8 Nd5 Qe6 Rad1 Nxd5 exd5 Qd6 Bh3 f5 Re2 e4 Bxg7 Kxg7 Qb2+ Qf6 Qxf6+ Kxf6 Ne1 Rfe8 f4 exf3 Rxe8 Rxe8 Nxf3 g5 Bg2 Re2 Rd2 Rxd2 Nxd2 Ne5 Bf1 Bc8 Kf2 Bd7 Be2 a6 a4 Ke7 Ke3 Kd6 Bd1 Be8 Be2 Bf7 Bd1 Bg6 Be2 Be8 Bd1 Bf7 Be2 Bg6 Bd1 Nd7 Be2 Nf6 Bd1 Be8 Be2 Nd7 Bd1 Ke5 Nf3+ Kf6 Bc2 Ne5 Nxe5 Kxe5 Bb1 Bg6 Kf3 Bh5+ Ke3 f4+ gxf4+ gxf4+ Kf2 Bd1 Ba2 Kd4 d6 Bg4 h3 Bxh3 Kf3 Ke5 Bb1 h5 Bg6 Bg4+ Kf2 Kxd6
white,2621,1122,e4 d5 exd5 Qxd5 Nc3 Qd8 d4 Nf6 Nf3 Nc6 h3 e6 Bd3 Nxd4 Nxd4 Qxd4 Bb5+ c6 Qxd4 Bb4 Qxb4 cxb5 Nxb5 Nd5 Qd6 a6 Nc3 Bd7 Nxd5 exd5 O-O O-O-O Bf4
white,2617,1500,Nf3
white,2586,1618,Nf3 c5 g3 Nf6 Bg2 Nc6 O-O d5 d4 e6 c4 Be7 cxd5 exd5 Nc3 O-O Bg5 cxd4 Nxd4 Be6 Rc1 Rc8 Nxe6 fxe6 Qb3 Nd4 Qd1 Qb6 Be3 Rc4 b3 Rxc3 Rxc3 Bc5 Rxc5 Qxc5 Bxd4 Qa5 Qc2 Ne8 Bh3 Qa6 Qc8 Kh8
white,2622,2188,e4 Nc6 Nf3 d5 exd5 Qxd5 Nc3 Qa5 d4 Bg4 Be3 O-O-O Be2 e5 d5 Nf6 dxc6 Rxd1+ Rxd1 bxc6 O-O Bc5 Bd2 Bb4 a3 Bd6 h3 Bh5 Rfe1 Qb6 b4 e4 Ng5 Bxe2 Nxe2 Rf8 Nc3 Qd4 Ncxe4 Nxe4 Nxe4 Qb2 Bc3 Qxc2 Bxg7 Rd8 Rc1 Qd3 Bf6 Rd7 Re3 Qd5 g3 Qf5 Kg2 h5 Rxc6 Kb7 Rcc3 Bf8 Re2 a6 Bg5 Rd4 Nc5+ Bxc5 Rxc5 Rd5 Be3 Qe4+ f3 Qf5 g4 hxg4 hxg4 Qd7 Rec2 Rxc5 Rxc5 c6 Rf5 Qe6 Bc5 Kc7 a4 Kd7 a5 Qe2+ Kg3 Ke6 Rf4 Qe1+ Bf2 Qb1 Re4+ Kd5 Bc5 f6 Kf4 Qh1 Re3 Qh2+ Kf5 Qh4 f4 Qh6 Rd3+ Kc4 Rd6 Qh7+ Kxf6 Qh6+ Kf5 Qh7+ Rg6 Qf7+ Kg5 Qd5+ f5 Qd2+ Kf6 Qd8+ Kg7 Qd7+ Kf6 Qd8+ Kf7 Qd7+ Be7 Qd5+ Kf8 Kb5 f6 Qe6 g5 Ka4 Rg7 Kb5 g6 Ka4 Rf7 Qc8+ Kg7 Kb5 Bc5 Qe8 Re7 Qd8 f7
white,2621,1770,e4 e5 Nf3 Nc6 Bc4 Nf6 Ng5 d5 exd5 Nxd5 d4 Bd7 Bxd5 Bg4
black,1500,2621,Nf3 Nf6 d4 g6 c4 Bg7 Nc3 O-O e4 c5 d5 e6 Bd3 exd5 cxd5 d6 O-O Bg4 h3 Bxf3 Qxf3 Nfd7 Qg3 Qe7 f4 Na6 a3 Nc7 Be3 b5 Nxb5 Nxb5 Bxb5 Rab8 Bxd7 Qxd7 f5 Rxb2 f6 Bh8 Bf4 Bxf6 Bxd6 Bd4+ Kh1 Rb6 Bxf8 Bxa1 Bxc5 Qb5 Qf2 Rf6
white,2522,1500,d4 e6 c4 Nf6 Nc3 Bb4 Bd2 O-O e3 b6 Nf3 Bb7 Be2 d5 O-O Nbd7 Rc1 Rc8 cxd5 Bxc3 Bxc3 Bxd5 b3 Ne4 Bb2 f5 Ba6 Rb8 Bc4 c6 Bxd5 cxd5 Rc6 Rf6 Ne5 Nxe5 dxe5 Rg6 f4 Qh4 Rf3 Qe7 Qc1 h6 Rc8+ Rxc8 Qxc8+ Kh7 Qc1 Qh4 Qd1 Qg4 Qe2 Nd2 Rf2 Qxe2 Rxe2 Ne4 Rc2 h5 Rc7 Nd2 Rxa7
