,p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,move
0,R,N,B,Q,K,B,N,R,P,P,P,P,P,P,P,P,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,p,p,p,p,p,p,p,r,n,b,q,k,b,n,r,white,e4
1,R,N,B,Q,K,B,N,R,P,P,P,P,.,P,P,P,.,.,.,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,p,p,p,p,.,p,p,p,r,n,b,q,k,b,n,r,white,Nf3
2,R,N,B,Q,K,B,.,R,P,P,P,P,.,P,P,P,.,.,.,.,.,N,.,.,.,.,.,.,P,.,.,.,.,.,.,.,p,.,.,.,.,.,.,p,.,.,.,.,p,p,p,.,.,p,p,p,r,n,b,q,k,b,n,r,white,d4
3,R,N,B,Q,K,B,.,R,P,P,P,.,.,P,P,P,.,.,.,.,.,N,.,.,.,.,.,P,P,.,.,.,.,.,.,.,p,.,.,.,.,.,n,p,.,.,.,.,p,p,p,.,.,p,p,p,r,.,b,q,k,b,n,r,white,d5
4,R,N,B,Q,K,B,.,R,P,P,P,.,.,P,P,P,.,.,.,.,.,N,.,.,.,n,.,.,P,.,.,.,.,.,.,P,p,.,.,.,.,.,.,p,.,.,.,.,p,p,p,.,.,p,p,p,r,.,b,q,k,b,n,r,white,a3
5,R,N,B,Q,K,B,.,R,.,P,P,.,.,P,P,P,P,.,.,.,.,N,.,.,.,.,.,.,P,.,.,.,.,.,.,P,p,.,.,.,n,.,.,p,.,.,.,.,p,p,p,.,.,p,p,p,r,.,b,q,k,b,n,r,white,Nc3
6,R,.,B,Q,K,B,.,R,.,P,P,.,.,P,P,P,P,.,N,.,.,N,.,.,.,.,.,.,P,.,.,.,.,.,.,P,p,.,.,.,n,.,.,p,.,.,.,.,p,p,p,.,b,p,p,p,r,.,b,q,k,.,n,r,white,b4
7,R,.,B,Q,K,B,.,R,.,.,P,.,.,P,P,P,P,.,N,.,.,N,.,.,.,P,.,.,P,.,.,.,.,.,.,P,p,.,.,.,n,.,.,p,.,n,.,.,p,p,p,.,b,p,p,p,r,.,b,q,k,.,.,r,white,Bg5
8,R,.,.,Q,K,B,.,R,.,.,P,.,.,P,P,P,P,.,N,.,.,N,.,.,.,P,.,.,P,.,.,.,.,.,.,P,p,.,B,.,n,.,.,p,.,n,.,.,p,p,p,.,b,p,p,p,r,.,b,q,.,r,k,.,white,b5
9,R,.,.,Q,K,B,.,R,.,.,P,.,.,P,P,P,P,.,N,.,.,N,.,.,.,.,.,.,P,.,.,.,.,P,n,P,p,.,B,.,.,.,.,p,.,n,.,.,p,p,p,.,b,p,p,p,r,.,b,q,.,r,k,.,white,Bxf6
