p0,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24,p25,p26,p27,p28,p29,p30,p31,p32,p33,p34,p35,p36,p37,p38,p39,p40,p41,p42,p43,p44,p45,p46,p47,p48,p49,p50,p51,p52,p53,p54,p55,p56,p57,p58,p59,p60,p61,p62,p63,player,alg,uci
r,n,b,q,k,b,n,r,p,p,p,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,P,P,P,P,R,N,B,Q,K,B,N,R,white,e4,e2e4
r,n,b,q,k,b,n,r,p,p,.,p,p,p,p,p,.,.,.,.,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,.,.,.,P,P,P,P,.,P,P,P,R,N,B,Q,K,B,N,R,white,Nf3,g1f3
r,n,b,q,k,b,n,r,p,p,.,.,p,p,p,p,.,.,.,p,.,.,.,.,.,.,p,.,.,.,.,.,.,.,.,.,P,.,.,.,.,.,.,.,.,N,.,.,P,P,P,P,.,P,P,P,R,N,B,Q,K,B,.,R,white,d4,d2d4
r,n,b,q,k,b,n,r,p,p,.,.,p,p,p,p,.,.,.,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,p,P,.,.,.,.,.,.,.,.,N,.,.,P,P,P,.,.,P,P,P,R,N,B,Q,K,B,.,R,white,Nxd4,f3d4
r,.,b,q,k,b,n,r,p,p,.,.,p,p,p,p,.,.,n,p,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,N,P,.,.,.,.,.,.,.,.,.,.,.,P,P,P,.,.,P,P,P,R,N,B,Q,K,B,.,R,white,c4,c2c4
r,.,b,q,k,b,n,r,p,p,.,.,.,p,p,p,.,.,n,p,p,.,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,.,.,.,.,.,.,.,.,.,.,P,P,.,.,.,P,P,P,R,N,B,Q,K,B,.,R,white,Nc3,b1c3
r,.,b,q,k,b,.,r,p,p,.,.,.,p,p,p,.,.,n,p,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,.,.,.,.,N,.,.,.,.,.,P,P,.,.,.,P,P,P,R,.,B,Q,K,B,.,R,white,Be2,f1e2
r,.,b,q,k,.,.,r,p,p,.,.,b,p,p,p,.,.,n,p,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,.,.,.,.,N,.,.,.,.,.,P,P,.,.,B,P,P,P,R,.,B,Q,K,.,.,R,white,Be3,c1e3
r,.,b,q,k,.,.,r,.,p,.,.,b,p,p,p,p,.,n,p,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,.,.,.,.,N,.,B,.,.,.,P,P,.,.,B,P,P,P,R,.,.,Q,K,.,.,R,white,O-O,e1g1
r,.,b,q,.,r,k,.,.,p,.,.,b,p,p,p,p,.,n,p,p,n,.,.,.,.,.,.,.,.,.,.,.,.,P,N,P,.,.,.,.,.,N,.,B,.,.,.,P,P,.,.,B,P,P,P,R,.,.,Q,.,R,K,.,white,Rc1,a1c1
